resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,38,46,185140.581,312.791
ATCUtilitySolar,500,0.2,1000,250,500,39.75500000000001,0.14200000000000002
CBPC-NIPCOUtilitySolar,500,0.2,1000,31,38,12420.931,40.998999999999995
CONSUtilitySolar,500,0.2,1000,0,500,453.722,1.1069999999999998
DECOUtilitySolar,500,0.2,1000,0,500,0.0,0.0
EES-ARKUtilitySolar,500,0.2,1000,375,437,81.619,0.243
EES-TXUtilitySolar,500,0.2,1000,156,187,9426.693,29.296
IA-EUtilitySolar,500,0.2,1000,156,187,772.227,3.123
IL-CUtilitySolar,500,0.2,1000,0,500,0.15499999999999997,0.003
IN-CUtilitySolar,500,0.2,1000,0,500,0.0,0.0
IN-SUtilitySolar,500,0.2,1000,0,500,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,15,23,188102.928,350.9560000000001
LA-NUtilitySolar,500,0.2,1000,250,312,392.55500000000006,1.0940000000000003
MECUtilitySolar,500,0.2,1000,31,38,419415.9120000001,442.70699999999994
MISO-MOUtilitySolar,500,0.2,1000,125,156,4232.919000000001,10.142999999999999
MISO-MSUtilitySolar,500,0.2,1000,46,62,56115.65499999999,136.127
MN-CUtilitySolar,500,0.2,1000,218,250,410.817,2.206000000000001
MN-NEUtilitySolar,500,0.2,1000,250,281,45.629999999999995,0.48899999999999993
MN-SEUtilitySolar,500,0.2,1000,187,218,20846.18,27.624000000000002
NIPSUtilitySolar,500,0.2,1000,0,500,0.0,0.0
SIPCUtilitySolar,500,0.2,1000,312,343,0.0,0.0
UPPCUtilitySolar,500,0.2,1000,125,187,33.784000000000006,0.538
