resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,69,77,733817.9770000001,635.827
ATCUtilitySolar,500,0.2,1000,375,500,2912.726,3.182
CBPC-NIPCOUtilitySolar,500,0.2,1000,85,93,27716.305000000004,65.90400000000001
CONSUtilitySolar,500,0.2,1000,0,500,2525.0389999999998,2.2249999999999996
DECOUtilitySolar,500,0.2,1000,0,500,25.855999999999995,0.049
EES-ARKUtilitySolar,500,0.2,1000,250,500,156.723,0.20800000000000002
EES-TXUtilitySolar,500,0.2,1000,375,406,6966.115,15.870999999999999
IA-EUtilitySolar,500,0.2,1000,218,250,12668.535,22.137999999999998
IL-CUtilitySolar,500,0.2,1000,250,500,352.041,0.614
IN-CUtilitySolar,500,0.2,1000,0,500,0.0,0.0
IN-SUtilitySolar,500,0.2,1000,0,500,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,62,69,290515.89800000004,336.724
LA-NUtilitySolar,500,0.2,1000,375,500,553.9859999999999,0.7430000000000001
MECUtilitySolar,500,0.2,1000,85,93,694739.959,355.315
MISO-MOUtilitySolar,500,0.2,1000,156,171,95226.749,105.11099999999999
MISO-MSUtilitySolar,500,0.2,1000,171,187,66206.87899999999,96.91299999999998
MN-CUtilitySolar,500,0.2,1000,281,312,4140.551,10.253
MN-NEUtilitySolar,500,0.2,1000,343,375,281.90700000000004,1.6019999999999999
MN-SEUtilitySolar,500,0.2,1000,250,281,81510.59000000001,44.057
NIPSUtilitySolar,500,0.2,1000,0,500,0.0,0.0
SIPCUtilitySolar,500,0.2,1000,343,359,0.0,0.0
UPPCUtilitySolar,500,0.2,1000,281,312,325.082,2.9610000000000003
