resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,77,93,2561.6389999999988,5.907
ATCUtilitySolar,500,0.2,1000,312,375,101.81,0.24500000000000002
CBPC-NIPCOUtilitySolar,500,0.2,1000,187,218,1288.2510000000004,3.529
CONSUtilitySolar,500,0.2,1000,250,375,50.241000000000014,0.16000000000000003
DECOUtilitySolar,500,0.2,1000,250,375,0.596,0.0010000000000000002
EES-ARKUtilitySolar,500,0.2,1000,62,93,37.872000000000014,0.13700000000000004
EES-TXUtilitySolar,500,0.2,1000,77,93,8923.511999999999,23.500999999999998
IA-EUtilitySolar,500,0.2,1000,312,375,51.63899999999999,0.14799999999999996
IL-CUtilitySolar,500,0.2,1000,375,500,1.3449999999999995,0.004
IN-CUtilitySolar,500,0.2,1000,375,500,0.0,0.0
IN-SUtilitySolar,500,0.2,1000,250,375,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,46,62,38716.561,58.83099999999999
LA-NUtilitySolar,500,0.2,1000,62,77,521.7860000000004,1.3610000000000002
MECUtilitySolar,500,0.2,1000,218,250,11395.246000000003,16.757000000000005
MISO-MOUtilitySolar,500,0.2,1000,187,250,124.70100000000001,0.36699999999999994
MISO-MSUtilitySolar,500,0.2,1000,62,77,13306.016000000005,35.28099999999999
MN-CUtilitySolar,500,0.2,1000,437,500,223.467,0.7269999999999996
MN-NEUtilitySolar,500,0.2,1000,375,437,32.95000000000001,0.21000000000000002
MN-SEUtilitySolar,500,0.2,1000,312,375,2247.3219999999997,2.652000000000002
NIPSUtilitySolar,500,0.2,1000,375,500,0.029,0.0009999999999999998
SIPCUtilitySolar,500,0.2,1000,250,312,0.0,0.0
UPPCUtilitySolar,500,0.2,1000,250,312,30.882999999999996,0.655
