resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,93,125,757.293,1.1979999999999997
ATCUtilitySolar,500,0.2,1000,62,125,37.379000000000005,0.10900000000000001
CBPC-NIPCOUtilitySolar,500,0.2,1000,125,187,1206.511,3.2600000000000002
CONSUtilitySolar,500,0.2,1000,62,125,24.305999999999994,0.078
DECOUtilitySolar,500,0.2,1000,62,125,1.9720000000000002,0.010000000000000004
EES-ARKUtilitySolar,500,0.2,1000,62,93,11.144,0.029
EES-TXUtilitySolar,500,0.2,1000,62,93,2368.5509999999995,5.222
IA-EUtilitySolar,500,0.2,1000,125,187,79.066,0.165
IL-CUtilitySolar,500,0.2,1000,62,125,2.259,0.009
IN-CUtilitySolar,500,0.2,1000,62,125,0.0,0.0
IN-SUtilitySolar,500,0.2,1000,62,125,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,62,93,7362.256,10.843
LA-NUtilitySolar,500,0.2,1000,62,93,121.566,0.33599999999999997
MECUtilitySolar,500,0.2,1000,125,187,4898.219,4.405000000000001
MISO-MOUtilitySolar,500,0.2,1000,125,187,30.546000000000006,0.12100000000000002
MISO-MSUtilitySolar,500,0.2,1000,31,62,2112.543,6.989
MN-CUtilitySolar,500,0.2,1000,125,187,293.73600000000005,0.9700000000000001
MN-NEUtilitySolar,500,0.2,1000,125,187,21.980000000000008,0.161
MN-SEUtilitySolar,500,0.2,1000,125,187,2244.1859999999997,2.16
NIPSUtilitySolar,500,0.2,1000,62,125,0.0,0.0
SIPCUtilitySolar,500,0.2,1000,62,125,0.0,0.0
UPPCUtilitySolar,500,0.2,1000,62,125,24.044,0.43499999999999994
