resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,1000,46,54,713518.564,705.1659999999998
ATC6hour,500,3000,0.2,1000,375,500,1812.8129999999999,2.159
CBPC-NIPCO6hour,500,3000,0.2,1000,125,156,2728.6330000000007,6.104
CONS6hour,500,3000,0.2,1000,0,500,2933.902,3.151
DECO6hour,500,3000,0.2,1000,0,500,25.81899999999999,0.052
EES-ARK6hour,500,3000,0.2,1000,250,312,1534.9029999999996,3.173
EES-TX6hour,500,3000,0.2,1000,15,31,114608.166,243.71699999999998
IA-E6hour,500,3000,0.2,1000,125,250,2289.6709999999994,2.873
IL-C6hour,500,3000,0.2,1000,0,250,240.876,0.46099999999999997
IN-C6hour,500,3000,0.2,1000,0,500,0.0,0.0
IN-S6hour,500,3000,0.2,1000,0,500,0.0,0.0
LA-GULF6hour,500,3000,0.2,1000,7,15,1.1131458329999999e6,1179.176
LA-N6hour,500,3000,0.2,1000,93,125,11175.963000000002,20.534000000000002
MEC6hour,500,3000,0.2,1000,62,93,140436.12600000005,74.04799999999999
MISO-MO6hour,500,3000,0.2,1000,31,62,57574.314,83.22200000000001
MISO-MS6hour,500,3000,0.2,1000,15,31,212877.84099999996,291.987
MN-C6hour,500,3000,0.2,1000,375,437,1113.105,2.1179999999999994
MN-NE6hour,500,3000,0.2,1000,437,500,136.94000000000005,0.5630000000000001
MN-SE6hour,500,3000,0.2,1000,125,250,8131.043,5.864
NIPS6hour,500,3000,0.2,1000,0,500,0.38699999999999996,0.005000000000000002
SIPC6hour,500,3000,0.2,1000,281,312,0.0,0.0
UPPC6hour,500,3000,0.2,1000,437,500,229.63500000000002,1.9309999999999996
