resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ2hour,500,1000,0.2,1000,46,54,969155.499,702.1629999999999
ATC2hour,500,1000,0.2,1000,187,250,13706.58,13.16
CBPC-NIPCO2hour,500,1000,0.2,1000,31,38,87631.01299999998,186.32399999999998
CONS2hour,500,1000,0.2,1000,0,250,13564.389999999998,11.192
DECO2hour,500,1000,0.2,1000,0,500,285.274,0.553
EES-ARK2hour,500,1000,0.2,1000,125,187,1849.2020000000002,3.5160000000000005
EES-TX2hour,500,1000,0.2,1000,62,77,60889.72499999999,103.712
IA-E2hour,500,1000,0.2,1000,93,109,51812.682,80.717
IL-C2hour,500,1000,0.2,1000,312,375,1487.2400000000002,3.167
IN-C2hour,500,1000,0.2,1000,0,500,0.083,0.0009999999999999996
IN-S2hour,500,1000,0.2,1000,0,500,0.0,0.0
LA-GULF2hour,500,1000,0.2,1000,23,31,650424.298,624.02
LA-N2hour,500,1000,0.2,1000,218,250,8476.981,12.443999999999997
MEC2hour,500,1000,0.2,1000,31,38,1.2541662219999998e6,629.336
MISO-MO2hour,500,1000,0.2,1000,15,31,176699.212,180.42800000000005
MISO-MS2hour,500,1000,0.2,1000,15,31,170286.638,248.67999999999998
MN-C2hour,500,1000,0.2,1000,31,46,15771.617,35.651999999999994
MN-NE2hour,500,1000,0.2,1000,0,31,1450.4839999999997,7.835
MN-SE2hour,500,1000,0.2,1000,46,62,226262.09400000004,132.67900000000003
NIPS2hour,500,1000,0.2,1000,250,500,1.155,0.006000000000000001
SIPC2hour,500,1000,0.2,1000,218,250,0.0,0.0
UPPC2hour,500,1000,0.2,1000,125,156,2200.7849999999994,14.132
