resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ2hour,500,1000,0.2,1000,38,46,1.4512063560000008e6,1040.4109999999998
ATC2hour,500,1000,0.2,1000,312,375,38094.782,31.90000000000001
CBPC-NIPCO2hour,500,1000,0.2,1000,62,77,51931.51899999999,101.77699999999999
CONS2hour,500,1000,0.2,1000,375,500,46087.29900000002,34.25999999999999
DECO2hour,500,1000,0.2,1000,250,500,1070.246,2.0179999999999993
EES-ARK2hour,500,1000,0.2,1000,93,125,8932.609000000002,18.236000000000008
EES-TX2hour,500,1000,0.2,1000,15,31,282536.869,394.40599999999995
IA-E2hour,500,1000,0.2,1000,93,125,52771.726999999984,59.15499999999999
IL-C2hour,500,1000,0.2,1000,312,375,6361.568999999999,9.796000000000003
IN-C2hour,500,1000,0.2,1000,250,500,2.164,0.009000000000000001
IN-S2hour,500,1000,0.2,1000,250,500,0.0,0.0
LA-GULF2hour,500,1000,0.2,1000,31,38,1.7351910160000003e6,1399.7210000000002
LA-N2hour,500,1000,0.2,1000,62,77,55634.20800000001,83.41300000000003
MEC2hour,500,1000,0.2,1000,77,93,780216.3649999998,349.1780000000002
MISO-MO2hour,500,1000,0.2,1000,31,46,281336.1699999999,256.58700000000005
MISO-MS2hour,500,1000,0.2,1000,54,62,500137.28700000007,604.4350000000001
MN-C2hour,500,1000,0.2,1000,250,281,15081.906000000003,31.32
MN-NE2hour,500,1000,0.2,1000,62,125,1752.2760000000003,7.834
MN-SE2hour,500,1000,0.2,1000,31,62,158217.47800000003,82.75299999999999
NIPS2hour,500,1000,0.2,1000,375,500,12.041,0.06900000000000003
SIPC2hour,500,1000,0.2,1000,187,250,0.068,0.004
UPPC2hour,500,1000,0.2,1000,0,62,3604.305000000001,27.616000000000007
