resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,1000,38,46,919185.8969999999,716.0369999999999
ATC6hour,500,3000,0.2,1000,0,250,2083.3600000000006,2.0690000000000004
CBPC-NIPCO6hour,500,3000,0.2,1000,15,23,29934.851,76.49299999999998
CONS6hour,500,3000,0.2,1000,0,500,1972.3790000000004,2.26
DECO6hour,500,3000,0.2,1000,0,500,12.431000000000004,0.024000000000000004
EES-ARK6hour,500,3000,0.2,1000,375,500,268.65,0.504
EES-TX6hour,500,3000,0.2,1000,62,93,16922.072000000007,44.108000000000004
IA-E6hour,500,3000,0.2,1000,31,62,15105.217,23.118000000000002
IL-C6hour,500,3000,0.2,1000,250,500,167.29900000000004,0.21600000000000003
IN-C6hour,500,3000,0.2,1000,0,500,0.0,0.0
IN-S6hour,500,3000,0.2,1000,0,500,0.0,0.0
LA-GULF6hour,500,3000,0.2,1000,38,46,455596.819,570.0830000000001
LA-N6hour,500,3000,0.2,1000,437,500,1238.3560000000002,2.4069999999999996
MEC6hour,500,3000,0.2,1000,38,46,918679.16,503.655
MISO-MO6hour,500,3000,0.2,1000,46,62,157081.09900000002,139.08300000000006
MISO-MS6hour,500,3000,0.2,1000,125,156,71872.62899999999,121.30700000000003
MN-C6hour,500,3000,0.2,1000,187,218,2502.5209999999997,7.436
MN-NE6hour,500,3000,0.2,1000,281,312,190.93999999999997,1.1740000000000002
MN-SE6hour,500,3000,0.2,1000,31,62,87343.51999999999,43.93600000000001
NIPS6hour,500,3000,0.2,1000,0,500,0.0,0.0
SIPC6hour,500,3000,0.2,1000,187,250,0.0,0.0
UPPC6hour,500,3000,0.2,1000,125,187,218.54399999999995,1.5600000000000003
