resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilityWind,500,0.2,1000,202,218,2444.730000000001,5.955000000000001
ATCUtilityWind,500,0.2,1000,437,500,77.286,0.23800000000000002
CBPC-NIPCOUtilityWind,500,0.2,1000,343,375,1272.3439999999994,3.5370000000000004
CONSUtilityWind,500,0.2,1000,375,500,40.913999999999994,0.13700000000000004
DECOUtilityWind,500,0.2,1000,375,500,0.0,0.0
EES-ARKUtilityWind,500,0.2,1000,156,187,29.156,0.10699999999999998
EES-TXUtilityWind,500,0.2,1000,140,156,8933.728999999998,23.482000000000003
IA-EUtilityWind,500,0.2,1000,437,500,23.186000000000003,0.08199999999999996
IL-CUtilityWind,500,0.2,1000,375,500,0.6310000000000001,0.005000000000000002
IN-CUtilityWind,500,0.2,1000,375,500,0.0,0.0
IN-SUtilityWind,500,0.2,1000,375,500,0.0,0.0
LA-GULFUtilityWind,500,0.2,1000,62,77,39373.28999999997,59.339
LA-NUtilityWind,500,0.2,1000,109,125,464.19699999999983,1.293
MECUtilityWind,500,0.2,1000,312,343,10938.639,16.391999999999996
MISO-MOUtilityWind,500,0.2,1000,437,500,116.79900000000005,0.35699999999999993
MISO-MSUtilityWind,500,0.2,1000,140,156,13103.898000000005,34.98399999999999
MN-CUtilityWind,500,0.2,1000,437,500,225.29700000000003,0.7210000000000002
MN-NEUtilityWind,500,0.2,1000,437,500,34.80599999999999,0.21799999999999994
MN-SEUtilityWind,500,0.2,1000,437,500,2357.302000000001,2.7059999999999986
NIPSUtilityWind,500,0.2,1000,375,500,0.0,0.0
SIPCUtilityWind,500,0.2,1000,437,500,0.0029999999999999996,0.0010000000000000002
UPPCUtilityWind,500,0.2,1000,437,500,35.57100000000001,0.647
