resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilityWind,500,0.2,1000,125,156,6828.157,4.928999999999999
ATCUtilityWind,500,0.2,1000,93,125,255.27299999999997,0.19500000000000003
CBPC-NIPCOUtilityWind,500,0.2,1000,62,93,2609.7840000000006,5.917000000000001
CONSUtilityWind,500,0.2,1000,93,125,285.4799999999999,0.35900000000000004
DECOUtilityWind,500,0.2,1000,62,93,30.446000000000005,0.04000000000000002
EES-ARKUtilityWind,500,0.2,1000,156,187,11.470999999999993,0.03200000000000001
EES-TXUtilityWind,500,0.2,1000,156,187,3331.835999999999,6.4270000000000005
IA-EUtilityWind,500,0.2,1000,93,125,792.244,1.1450000000000002
IL-CUtilityWind,500,0.2,1000,93,125,114.563,0.18200000000000008
IN-CUtilityWind,500,0.2,1000,125,156,0.0,0.0
IN-SUtilityWind,500,0.2,1000,93,125,0.0,0.0
LA-GULFUtilityWind,500,0.2,1000,93,125,12230.594999999998,10.007
LA-NUtilityWind,500,0.2,1000,156,187,378.74699999999996,0.8080000000000002
MECUtilityWind,500,0.2,1000,62,93,16007.931000000002,7.457
MISO-MOUtilityWind,500,0.2,1000,125,156,1163.7130000000006,1.7739999999999998
MISO-MSUtilityWind,500,0.2,1000,156,187,2082.5209999999993,4.259999999999999
MN-CUtilityWind,500,0.2,1000,218,250,215.193,0.36
MN-NEUtilityWind,500,0.2,1000,93,125,31.590000000000003,0.174
MN-SEUtilityWind,500,0.2,1000,62,93,2661.681,3.001
NIPSUtilityWind,500,0.2,1000,62,93,0.20499999999999993,0.0010000000000000007
SIPCUtilityWind,500,0.2,1000,93,125,0.2860000000000001,0.022000000000000002
UPPCUtilityWind,500,0.2,1000,156,187,73.763,1.1610000000000003
