resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilityWind,500,0.2,1000,242,250,846509.7209999999,770.762
ATCUtilityWind,500,0.2,1000,375,500,2342.8939999999993,4.286
CBPC-NIPCOUtilityWind,500,0.2,1000,343,351,19220.631,64.84800000000001
CONSUtilityWind,500,0.2,1000,250,500,11818.556000000002,17.162000000000003
DECOUtilityWind,500,0.2,1000,0,500,33.67,0.09600000000000003
EES-ARKUtilityWind,500,0.2,1000,468,500,2831.331,6.415
EES-TXUtilityWind,500,0.2,1000,319,327,155357.84199999998,266.59999999999997
IA-EUtilityWind,500,0.2,1000,468,500,6595.915,14.591000000000001
IL-CUtilityWind,500,0.2,1000,250,500,337.822,0.666
IN-CUtilityWind,500,0.2,1000,0,500,0.0,0.0
IN-SUtilityWind,500,0.2,1000,0,500,0.0,0.0
LA-GULFUtilityWind,500,0.2,1000,140,144,1.0814124949999999e6,1190.3390000000002
LA-NUtilityWind,500,0.2,1000,484,500,19214.318000000003,35.562999999999995
MECUtilityWind,500,0.2,1000,312,319,617946.99,538.6170000000001
MISO-MOUtilityWind,500,0.2,1000,468,484,87129.005,120.232
MISO-MSUtilityWind,500,0.2,1000,194,202,294188.00500000006,461.5250000000001
MN-CUtilityWind,500,0.2,1000,437,500,1437.833,5.582999999999999
MN-NEUtilityWind,500,0.2,1000,437,500,193.766,1.215
MN-SEUtilityWind,500,0.2,1000,437,500,61476.741,54.211000000000006
NIPSUtilityWind,500,0.2,1000,0,500,0.3219999999999999,0.002
SIPCUtilityWind,500,0.2,1000,484,500,0.0,0.0
UPPCUtilityWind,500,0.2,1000,437,500,372.18399999999997,4.419
