,level_0,index,Generator Name,category,MISO_Bubble,Bubble,Max Capacity,Region,Forced Outage Rate,Maintenance Rate_Band2,Mean Time to Repair,Mean Time to Repair_Band2,FORandMaintenance,recoverprob,failureprob
0,0,0,1CLSUCOG1_1,CC,LA-Gulf_26,26,20.0,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
1,10,11,Acadia Energy Center_1,CC,LA-N_28,28,265.0,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
2,11,12,Acadia Energy Center_2,CC,LA-N_28,28,198.0,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
3,12,13,Acadia Energy Center_3,CC,LA-N_28,28,198.0,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
4,38,43,Bayou Cove Peaking Power_1,Gas_GT,LA-N_28,28,80.0,MISO-9,2.4,5.18,68.0,454.0,7.58,0.014705882352941176,0.0012061305803429357
5,39,44,Bayou Cove Peaking Power_2,Gas_GT,LA-N_28,28,80.0,MISO-9,2.4,5.18,68.0,454.0,7.58,0.014705882352941176,0.0012061305803429357
6,40,45,Bayou Cove Peaking Power_3,Gas_GT,LA-N_28,28,80.0,MISO-9,2.4,5.18,68.0,454.0,7.58,0.014705882352941176,0.0012061305803429357
7,41,46,Bayou Cove Peaking Power_4,Gas_GT,LA-N_28,28,80.0,MISO-9,2.4,5.18,68.0,454.0,7.58,0.014705882352941176,0.0012061305803429357
8,44,50,Big Cajun 2_2,Coal_ST,LA-N_28,28,575.0,MISO-9,2.4,10.44,45.0,915.0,12.84,0.022222222222222223,0.0032736729386568767
9,45,51,Big Cajun 2_3,Coal_ST,LA-N_28,28,575.0,MISO-9,2.4,10.44,45.0,915.0,12.84,0.022222222222222223,0.0032736729386568767
10,65,72,Calcasieu_1,Gas_GT,LA-Gulf_26,26,175.0,MISO-9,2.4,5.18,68.0,454.0,7.58,0.014705882352941176,0.0012061305803429357
11,66,73,Calcasieu_2,Gas_GT,LA-Gulf_26,26,175.0,MISO-9,2.4,5.18,68.0,454.0,7.58,0.014705882352941176,0.0012061305803429357
12,71,78,Carville Energy LLC_1,CC,LA-Gulf_26,26,187.0,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
13,105,121,Cottonwood Energy Project_1,CC,LA-N_28,28,179.9,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
14,106,122,Cottonwood Energy Project_1A,CC,LA-N_28,28,179.9,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
