resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
ATCUtilitySolar,500,0.05,2500,375,500,487.1432,0.8236000000000001
CONSUtilitySolar,500,0.05,2500,250,375,307.2824,0.6023999999999999
DECOUtilitySolar,500,0.05,2500,250,375,18.471200000000003,0.08800000000000001
EES-ARKUtilitySolar,500,0.05,2500,46,62,131.55679999999998,0.3872
EES-TXUtilitySolar,500,0.05,2500,62,77,49754.984800000006,91.30279999999998
IA-EUtilitySolar,500,0.05,2500,375,500,401.82400000000007,0.7928000000000003
IL-CUtilitySolar,500,0.05,2500,375,500,13.026799999999998,0.07800000000000003
IN-CUtilitySolar,500,0.05,2500,375,500,0.0,0.0
IN-SUtilitySolar,500,0.05,2500,375,500,0.0,0.0
LA-GULFUtilitySolar,500,0.05,2500,46,62,82909.05519999999,111.32119999999999
LA-NUtilitySolar,500,0.05,2500,46,62,3810.1612000000005,9.530000000000001
MECUtilitySolar,500,0.05,2500,375,500,22314.446799999998,12.641200000000001
MISO-MOUtilitySolar,500,0.05,2500,375,500,67.00560000000002,0.26800000000000007
MISO-MSUtilitySolar,500,0.05,2500,46,62,27061.162000000004,75.554
MN-CUtilitySolar,500,0.05,2500,375,500,1575.0531999999998,4.589599999999999
MN-NEUtilitySolar,500,0.05,2500,375,500,148.74200000000005,0.8836000000000002
MN-SEUtilitySolar,500,0.05,2500,375,500,6106.849200000001,6.1164
NIPSUtilitySolar,500,0.05,2500,375,500,0.3911999999999999,0.0012000000000000003
SIPCUtilitySolar,500,0.05,2500,250,375,0.0,0.0
UPPCUtilitySolar,500,0.05,2500,375,500,127.75520000000002,2.3912000000000004
