resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
ATC6hour,500,3000,0.05,2500,31,46,558.5072,0.9072000000000001
CONS6hour,500,3000,0.05,2500,62,77,332.4784,0.6592
DECO6hour,500,3000,0.05,2500,46,62,21.102799999999995,0.09240000000000002
EES-ARK6hour,500,3000,0.05,2500,31,46,143.20000000000002,0.4008
EES-TX6hour,500,3000,0.05,2500,46,62,50181.110400000005,91.95640000000002
IA-E6hour,500,3000,0.05,2500,31,46,502.8948000000001,0.9316000000000001
IL-C6hour,500,3000,0.05,2500,62,77,19.4112,0.11280000000000001
IN-C6hour,500,3000,0.05,2500,77,93,0.0,0.0
IN-S6hour,500,3000,0.05,2500,31,46,0.0,0.0
LA-GULF6hour,500,3000,0.05,2500,46,62,83747.234,111.92120000000001
LA-N6hour,500,3000,0.05,2500,46,62,3738.9256,9.421600000000002
MEC6hour,500,3000,0.05,2500,46,62,22753.9432,12.741199999999997
MISO-MO6hour,500,3000,0.05,2500,46,62,83.13239999999999,0.31159999999999993
MISO-MS6hour,500,3000,0.05,2500,15,31,27555.047199999997,76.27520000000001
MN-C6hour,500,3000,0.05,2500,46,62,1627.3264000000001,4.6908
MN-NE6hour,500,3000,0.05,2500,46,62,140.30920000000006,0.8684000000000002
MN-SE6hour,500,3000,0.05,2500,46,62,6065.596399999999,6.152799999999998
NIPS6hour,500,3000,0.05,2500,31,46,0.04800000000000002,0.0024000000000000002
SIPC6hour,500,3000,0.05,2500,46,62,0.0,0.0
UPPC6hour,500,3000,0.05,2500,62,77,126.9656,2.466799999999999
